Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
gripper_base,-4.8185E-05,1.2812E-06,0.033325,0,0,0,0.6734,0.00034291,7.1656E-06,-5.6694E-08,0.00032874,-5.642E-09,0.00062375,0,0,0,0,0,0,package://ASSY_URDF.SLDASM3/meshes/gripper_base.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://ASSY_URDF.SLDASM3/meshes/gripper_base.STL,,gripper_base-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
gripper_joint_1,9.1778E-09,0.025065,-0.0045868,0,0,0,0.025712,7.1205E-06,-2.953E-12,2.5553E-12,1.241E-06,-6.3858E-07,7.7317E-06,0,0,0,0,0,0,package://ASSY_URDF.SLDASM3/meshes/gripper_joint_1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://ASSY_URDF.SLDASM3/meshes/gripper_joint_1.STL,,grippe_finger-3,Origin_gripper_joint_1_joint,Axis_gripper_joint_1_joint,gripper_joint_1_joint,prismatic,0,0.0525,0.06,1.5708,0,0,gripper_base,0,0,-1,0,0,0,0,,,,,,,,
gripper_joint_2,-9.1778E-09,-0.025065,-0.0045868,0,0,0,0.025712,7.1205E-06,-2.953E-12,-2.5553E-12,1.241E-06,6.3858E-07,7.7317E-06,0,0,0,0,0,0,package://ASSY_URDF.SLDASM3/meshes/gripper_joint_2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://ASSY_URDF.SLDASM3/meshes/gripper_joint_2.STL,,grippe_finger-2,Origin_gripper_joint_2_joint,Axis_gripper_joint_2_joint,gripper_joint_2_joint,prismatic,0,-0.0525,0.06,-1.5708,0,0,gripper_base,0,0,-1,0,0,0,0,,,,,,,,
